map_id,status,video_path,error
8Ua6YU1D,ok,outputs\sokoban_play_videos_rerender\sokoban\8Ua6YU1D.mp4,
t7mUz3Qe,ok,outputs\sokoban_play_videos_rerender\sokoban\t7mUz3Qe.mp4,
7V2mu5KA,ok,outputs\sokoban_play_videos_rerender\sokoban\7V2mu5KA.mp4,
HjLVlKx4,ok,outputs\sokoban_play_videos_rerender\sokoban\HjLVlKx4.mp4,
5Au4nrI2,ok,outputs\sokoban_play_videos_rerender\sokoban\5Au4nrI2.mp4,
3xtQxBWH,ok,outputs\sokoban_play_videos_rerender\sokoban\3xtQxBWH.mp4,
QUT4qGl2,ok,outputs\sokoban_play_videos_rerender\sokoban\QUT4qGl2.mp4,
bhRr4CCv,ok,outputs\sokoban_play_videos_rerender\sokoban\bhRr4CCv.mp4,
iJNJxWfZ,ok,outputs\sokoban_play_videos_rerender\sokoban\iJNJxWfZ.mp4,
TIXMBKaj,ok,outputs\sokoban_play_videos_rerender\sokoban\TIXMBKaj.mp4,
Z0SxyjXq,ok,outputs\sokoban_play_videos_rerender\sokoban\Z0SxyjXq.mp4,
ROciIZDL,ok,outputs\sokoban_play_videos_rerender\sokoban\ROciIZDL.mp4,
2v2qgbvC,ok,outputs\sokoban_play_videos_rerender\sokoban\2v2qgbvC.mp4,
73sJaNBn,ok,outputs\sokoban_play_videos_rerender\sokoban\73sJaNBn.mp4,
f8sbFI0a,ok,outputs\sokoban_play_videos_rerender\sokoban\f8sbFI0a.mp4,
extLxWet,ok,outputs\sokoban_play_videos_rerender\sokoban\extLxWet.mp4,
UTSKBMio,ok,outputs\sokoban_play_videos_rerender\sokoban\UTSKBMio.mp4,
LUiVjpMm,ok,outputs\sokoban_play_videos_rerender\sokoban\LUiVjpMm.mp4,
cHhvQJlr,ok,outputs\sokoban_play_videos_rerender\sokoban\cHhvQJlr.mp4,
cTxMstwv,ok,outputs\sokoban_play_videos_rerender\sokoban\cTxMstwv.mp4,
ij6onaGt,ok,outputs\sokoban_play_videos_rerender\sokoban\ij6onaGt.mp4,
5iXJGqnK,ok,outputs\sokoban_play_videos_rerender\sokoban\5iXJGqnK.mp4,
H77pn4iQ,ok,outputs\sokoban_play_videos_rerender\sokoban\H77pn4iQ.mp4,
Iz5BqRyu,ok,outputs\sokoban_play_videos_rerender\sokoban\Iz5BqRyu.mp4,
QV6Qfb7T,ok,outputs\sokoban_play_videos_rerender\sokoban\QV6Qfb7T.mp4,
UeeTjy5b,ok,outputs\sokoban_play_videos_rerender\sokoban\UeeTjy5b.mp4,
oHSLE5UO,ok,outputs\sokoban_play_videos_rerender\sokoban\oHSLE5UO.mp4,
79DSy6TF,ok,outputs\sokoban_play_videos_rerender\sokoban\79DSy6TF.mp4,
aE7sjnta,ok,outputs\sokoban_play_videos_rerender\sokoban\aE7sjnta.mp4,
wSCVt298,ok,outputs\sokoban_play_videos_rerender\sokoban\wSCVt298.mp4,
